,,,,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,,
,1 Tbsp = 1/16 cup,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other Tags,,,
,1 tsp= 0.33 Tbsp ,,,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),Calc (mg),Iron (mg),Magn (mg),Phos (mg),Pot (mg),Sod (mg),Zinc (mg),Vit C (mg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B6 (mg),Folate (mcg),Vit B12 (mcg),Vit A-RAE (mcg),Vit A-IU (IU),Vit E-a-Toco (mg),Vit D-mcg (mcg),Vit D-IU (IU),Vit K (mcg),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Gluten-Free,Spicy ,Raw,Soft
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg,,
,TOTAL ,,111.8,  636.0   ,  0.4   ,  1.4   ,  1.2   ,  0.1   ,  -     ,  0.2   ,  5.2   ,  7.3   ,  33.2   ,  390.1   ,  0.1   ,  -     ,  1.1   ,  0.0   ,  0.1   ,  2.9   ,  4.1   ,  -     ,  11.4   ,  143.3   ,  0.2   ,  -     ,  -     ,  22.3   ,  -     ,  8.3   ,  10.2   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,,
,% of RDI,,,32%,1%,2%,,0%,,0%,35%,2%,7%,10%,0%,0%,1%,1%,4%,16%,207%,0%,1%,24%,,0%,0%,4%,0%,,,,,,,,,
Lunch,Thai Red Curry // Mung Bean Dahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweet potato. baked w/o skin,cup,0.125,  19.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.3   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  1.0   , ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Cooked cauliflower,cup,0.25,  7.1   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.1   ,  0.4   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.1   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Butternut. Cooked,cup,0.125,  10.3   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.4   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.7   , ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Cooked carrots,cup,0.125,  6.6   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.3   ,  0.1   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  1.1   , ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Spinach Cooked,,10,  2.3   ,  0.3   ,  0.0   ,  0.4   ,  0.0   ,  -     ,  0.4   ,  8.7   ,  5.6   ,  46.6   ,  7.0   ,  0.1   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  14.6   ,  -     ,  52.4   , ,  0.2   ,  -     ,  -     ,  49.4   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Ripe tomato. raw,cup,0.125,  4.5   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.3   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.1   ,  1.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,White potato. cooked with peel,cup,0.125,  25.9   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.1   ,  0.7   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
